,name,team_code
0,Ferrari,Ferrari
1,Force India,Force_India
2,HRT,Hrt
3,Lotus,Lotus_Racing
4,McLaren,Mclaren
5,Mercedes,Mercedes
6,Red Bull,Red_Bull
7,Renault,Renault
8,Sauber,Sauber
9,Toro Rosso,Toro_Rosso
10,Virgin,Virgin
11,Williams,Williams
